net,length_um
po_0.regf_0.rf\[8\]\[4\],20.34
D_W_data[1],20.27
_0299_,20.16
po_0.regf_0.rf\[4\]\[1\],20.16
_0577_,20.12
_0258_,20.08
po_0.regf_0.rf\[0\]\[6\],20.04
po_0.regf_0.rf\[9\]\[3\],20
_0820_,19.96
po_0.regf_0.rf\[12\]\[6\],19.94
po_0.regf_0.rf\[8\]\[1\],19.92
_0870_,19.88
po_0.regf_0.rf\[9\]\[4\],19.78
po_0.regf_0.rf\[10\]\[4\],19.695
_0807_,19.66
po_0.regf_0.rf\[15\]\[5\],19.36
_0718_,19.32
po_0.regf_0.rf\[6\]\[2\],19.31
po_0.alu_0._11_\[6\],19.28
po_0.regf_0.rf\[5\]\[0\],19.28
_0636_,19.14
uc_0.bc_0._14_\[1\],19.14
po_0.regf_0.rf\[0\]\[0\],19.06
po_0.alu_0._11_\[4\],18.845
po_0.regf_0.rf\[6\]\[0\],18.83
_0361_,18.76
po_0.regf_0.rf\[2\]\[2\],18.71
po_0.regf_0.rf\[5\]\[2\],18.6
_0005_,18.4
net110,18.34
po_0._1_\[6\],18.1
po_0.regf_0.rf\[6\]\[7\],18.07
_0883_,18.02
_0331_,17.88
_0485_,17.76
_0629_,17.76
_0796_,17.7
po_0.regf_0.rf\[14\]\[0\],17.7
po_0.regf_0.rf\[7\]\[2\],17.22
po_0.regf_0.rf\[7\]\[1\],17.18
po_0.regf_0.rf\[11\]\[6\],17.14
po_0.regf_0.rf\[4\]\[4\],17.14
po_0.regf_0.rf\[14\]\[7\],17.05
po_0.regf_0.rf\[14\]\[5\],17.03
po_0.regf_0.rf\[2\]\[6\],17.03
_0300_,16.945
po_0.regf_0.rf\[11\]\[7\],16.7
_0857_,16.68
po_0.alu_0.s1,16.62
_0556_,16.6
po_0.regf_0.rf\[0\]\[7\],16.54
_0570_,16.4
uc_0.bc_0._14_\[4\],16.14
_0779_,16
po_0.alu_0._10_\[4\],15.94
_0625_,15.88
po_0.regf_0.rf\[0\]\[1\],15.84
po_0.regf_0.rf\[7\]\[6\],15.84
net34,15.8
po_0.regf_0.rf\[10\]\[7\],15.795
po_0.regf_0.rf\[4\]\[2\],15.76
I_data[1],15.7
po_0.regf_0.rf\[2\]\[4\],15.635
D_R_data[1],15.58
net10,15.465
_0282_,15.46
po_0.regf_0.rf\[12\]\[2\],15.42
_0336_,15.34
_0340_,15.3
po_0.regf_0.rf\[3\]\[7\],15.27
po_0.regf_0.rf\[4\]\[7\],15.18
po_0.regf_0.rf\[10\]\[0\],15.175
_0705_,15.14
po_0.regf_0.rf\[10\]\[6\],15.09
_0499_,14.98
_0724_,14.98
I_addr[3],14.82
_0559_,14.8
po_0.regf_0._3_\[6\],14.72
po_0.regf_0.rf\[14\]\[2\],14.66
_0649_,14.54
po_0.regf_0.rf\[9\]\[1\],14.54
po_0.regf_0.rf\[0\]\[2\],14.5
po_0.regf_0.rf\[9\]\[0\],14.46
_0716_,14.28
po_0.regf_0.rf\[11\]\[3\],14.28
_0710_,14.26
_0714_,14.24
po_0.regf_0.rf\[1\]\[3\],14.18
po_0.regf_0.rf\[8\]\[7\],14.14
_0532_,14
_0711_,14
po_0.regf_0.rf\[9\]\[6\],14
po_0.regf_0.rf\[6\]\[6\],13.87
_0444_,13.86
po_0.regf_0.rf\[10\]\[1\],13.735
_0700_,13.72
_0715_,13.7
po_0.alu_0._10_\[1\],13.68
_0819_,13.64
_0795_,13.46
_0815_,13.38
_0638_,13.34
_0297_,13.28
po_0.alu_0._10_\[5\],13.2
D_addr[4],13.16
po_0.regf_0.rf\[11\]\[5\],13.08
po_0.regf_0.rf\[11\]\[1\],13.01
_0558_,13
_0527_,12.74
_0645_,12.74
D_addr[2],12.7
D_addr[5],12.7
D_addr[6],12.7
led_clock,12.7
leds[0],12.7
po_0.regf_0.rf\[0\]\[3\],12.66
_0817_,12.62
po_0.alu_0.s0,12.62
po_0.regf_0.w_addr\[3\],12.6
_0606_,12.5
po_0.regf_0.rf\[10\]\[5\],12.45
po_0.alu_0._11_\[5\],12.44
_0491_,12.16
_0302_,12.12
_0411_,12.1
_0723_,12.1
_0096_,12.06
clock,12.02
_0298_,12
po_0.regf_0.rf\[9\]\[2\],11.96
_0101_,11.94
_0483_,11.88
_0343_,11.84
po_0.regf_0.rp_rd,11.8
_0663_,11.68
po_0.regf_0.rf\[6\]\[4\],11.63
_0567_,11.5
_0631_,11.5
po_0.regf_0.rf\[12\]\[7\],11.5
_0804_,11.46
_0719_,11.44
po_0.regf_0.rf\[4\]\[3\],11.42
_0882_,11.28
_0278_,11.24
_0822_,11.24
_0560_,11.2
_0526_,11.16
_0318_,11.1
net12,11.06
D_R_data[6],10.9
_0712_,10.89
I_addr[1],10.88
_0703_,10.86
_0289_,10.82
_0329_,10.82
_0766_,10.8
_0799_,10.78
D_R_data[3],10.76
D_R_data[7],10.76
_0440_,10.7
_0327_,10.695
_0473_,10.66
_0283_,10.62
_0735_,10.58
po_0.regf_0.rf\[1\]\[2\],10.58
_0540_,10.56
_0304_,10.465
_0260_,10.44
_0326_,10.42
_0403_,10.4
_0441_,10.22
_0328_,10.14
_0591_,10.02
_0268_,10.01
po_0.regf_0.rf\[9\]\[7\],9.94
_0199_,9.9
_0603_,9.82
_0498_,9.76
net13,9.68
D_R_data[2],9.64
D_R_data[5],9.64
I_data[0],9.64
I_data[3],9.64
I_data[4],9.64
I_data[7],9.64
_0729_,9.58
_0828_,9.5
_0662_,9.48
_0769_,9.48
_0097_,9.44
D_addr[0],9.42
_0166_,9.405
_0201_,9.4
_0573_,9.4
_0575_,9.36
_0587_,9.36
_0808_,9.36
po_0.regf_0.rq_addr\[3\],9.36
_0098_,9.22
_0641_,9.2
D_addr[3],9.17
_0781_,9.08
_0325_,9.06
_0407_,9.06
_0232_,9.04
_0286_,9.04
_0460_,9.02
_0541_,9.02
_0360_,9
D_addr[7],8.96
I_addr[6],8.96
leds[1],8.96
_0782_,8.94
net15,8.925
_0709_,8.92
_0733_,8.92
po_0.regf_0.rp_addr\[0\],8.9
po_0.regf_0.rq_addr\[2\],8.9
_0571_,8.86
_0446_,8.8
_0707_,8.8
_0880_,8.72
_0457_,8.7
_0474_,8.7
_0611_,8.68
_0334_,8.66
_0275_,8.58
_0761_,8.56
net31,8.56
_0372_,8.48
_0635_,8.48
_0388_,8.44
po_0.regf_0.rq_addr\[0\],8.44
_0400_,8.4
_0792_,8.26
_0319_,8.16
_0432_,8.1
_0760_,8.04
_0094_,8.025
_0314_,8.02
_0354_,8.02
_0836_,8.02
_0537_,7.98
_0664_,7.94
_0382_,7.9
_0691_,7.9
_0706_,7.78
_0545_,7.76
uc_0.bc_0._14_\[5\],7.76
_0273_,7.74
po_0.regf_0.rf\[1\]\[0\],7.74
_0301_,7.68
_0401_,7.64
I_addr[2],7.58
_0805_,7.58
_0287_,7.56
_0613_,7.48
_0389_,7.44
_0620_,7.4
_0653_,7.4
_0011_,7.385
_0505_,7.3
_0774_,7.24
I_data[5],7.23
_0233_,7.22
_0235_,7.22
_0435_,7.22
_0728_,7.22
_0074_,7.205
po_0.regf_0.rp_addr\[3\],7.18
_0034_,7.165
net11,7.145
_0832_,7.14
_0346_,7.12
_0202_,7.1
_0539_,7.1
_0610_,7.1
_0642_,7.1
_0693_,7.06
_0737_,7.06
po_0.regf_0.rp_addr\[1\],7.06
po_0.regf_0.rp_addr\[2\],7.06
uc_0._00_,6.98
_0605_,6.96
_0147_,6.925
_0552_,6.92
_0615_,6.88
_0037_,6.825
_0060_,6.825
_0066_,6.825
_0069_,6.825
_0115_,6.825
_0176_,6.825
_0417_,6.76
_0633_,6.76
_0886_,6.76
_0367_,6.74
_0686_,6.72
_0865_,6.72
po_0.alu_0._10_\[0\],6.72
po_0.alu_0._10_\[3\],6.72
_0067_,6.685
_0315_,6.64
_0397_,6.6
_0513_,6.6
_0596_,6.6
_0621_,6.6
_0878_,6.6
_0151_,6.545
_0211_,6.52
_0574_,6.48
_0701_,6.48
_0465_,6.475
_0547_,6.46
_0392_,6.42
_0811_,6.32
_0231_,6.3
_0375_,6.3
_0387_,6.3
_0844_,6.3
_0818_,6.28
po_0.regf_0.rf\[1\]\[7\],6.26
_0687_,6.24
D_W_data[5],6.21
D_W_data[7],6.21
I_addr[4],6.21
_0378_,6.2
_0699_,6.2
_0109_,6.185
_0228_,6.14
_0673_,6.14
po_0.regf_0.rq_addr\[1\],6.14
_0307_,6.06
_0544_,6.06
_0284_,6.04
_0169_,6.025
_0829_,6.02
_0604_,5.98
D_R_data[4],5.97
_0494_,5.94
_0637_,5.94
I_data[6],5.87
_0543_,5.84
_0656_,5.84
_0866_,5.84
po_0.alu_0._10_\[2\],5.84
_0198_,5.8
_0548_,5.8
_0873_,5.8
_0084_,5.765
D_addr[1],5.75
I_addr[0],5.75
_0230_,5.74
_0244_,5.74
_0442_,5.74
_0563_,5.74
_0678_,5.74
_0863_,5.72
_0172_,5.715
_0190_,5.68
_0422_,5.68
_0428_,5.68
_0695_,5.68
_0874_,5.68
_0816_,5.62
_0534_,5.6
D_W_data[0],5.53
leds[2],5.53
leds[3],5.53
_0341_,5.52
_0402_,5.52
_0063_,5.475
_0251_,5.4
_0213_,5.38
_0234_,5.38
_0484_,5.38
_0338_,5.34
_0353_,5.34
_0759_,5.34
_0030_,5.305
D_R_data[0],5.29
_0296_,5.28
_0210_,5.26
_0222_,5.26
_0421_,5.26
_0431_,5.26
_0436_,5.26
_0476_,5.26
_0490_,5.26
_0722_,5.26
_0390_,5.22
_0454_,5.22
_0626_,5.22
_0192_,5.14
_0720_,5.14
_0102_,5.085
