net,length_um
_0661_,45.48
_0540_,45.44
po_0.alu_0._10_\[14\],45.36
po_0.regf_0.rf\[2\]\[15\],45.19
net149,45.02
po_0.regf_0._5_\[1\],44.9
_0986_,44.74
po_0.regf_0.rf\[9\]\[11\],44.72
_1399_,44.5
net111,44.22
net120,44.22
po_0.regf_0.rf\[11\]\[10\],44.16
_0369_,44.14
po_0.muxf_0.rf_w_data\[2\],44
_0992_,43.86
_0401_,43.64
_1124_,43.365
po_0.regf_0.rf\[11\]\[5\],43.06
_0512_,43
_1112_,42.96
_0571_,42.9
_1488_,42.88
_0720_,42.84
_0632_,42.82
net92,42.78
net179,42.63
_0645_,42.62
_1113_,42.515
net161,42.42
_1378_,42.25
net143,42.18
_1387_,41.6
_0659_,41.12
po_0.regf_0.rf\[8\]\[6\],41.06
_0747_,40.84
_0859_,40.72
_0470_,40.68
_0549_,40.56
_1363_,40.4
_0349_,40.38
_0409_,40.08
_1376_,39.82
_1370_,39.76
_0411_,39.36
_0623_,39.28
po_0.regf_0.rf\[2\]\[12\],39.23
_0619_,39.2
po_0.regf_0.rf\[10\]\[4\],39.17
po_0.regf_0.rf\[3\]\[2\],39.12
_1186_,39.08
_0874_,39
_1461_,38.64
_0504_,38.56
_1444_,38.56
_0707_,38.5
_0518_,38.48
po_0.regf_0.rf\[11\]\[4\],38.42
_1385_,38.27
po_0.regf_0.w_wr,38.24
_0666_,37.94
_0389_,37.82
_1383_,37.44
_0845_,37.12
po_0.alu_0._10_\[15\],37.1
_0347_,37.06
po_0._1_\[2\],37.015
po_0.muxf_0.s0,36.78
_0672_,36.72
_0010_,36.3
po_0.regf_0._3_\[7\],36.28
_1390_,36.06
net155,35.92
po_0.regf_0._3_\[10\],35.5
_0607_,35.44
_0651_,35.26
net45,35.22
net95,35.14
po_0.regf_0.rf\[11\]\[6\],34.92
_0516_,34.76
_0657_,34.72
_0589_,34.715
po_0.regf_0.rf\[14\]\[4\],34.42
_0414_,34.14
po_0.regf_0.rf\[0\]\[13\],34.07
net60,34.06
_1410_,34.02
po_0.regf_0.rf\[0\]\[6\],33.94
net123,33.755
_0861_,33.64
po_0.regf_0.rf\[7\]\[13\],33.64
po_0.regf_0.rf\[4\]\[8\],33.38
_0374_,33.22
po_0.regf_0.rf\[1\]\[1\],33.12
_0610_,32.95
po_0.regf_0.rf\[10\]\[9\],32.6
net114,32.4
po_0.regf_0.rf\[10\]\[5\],32.32
po_0.regf_0.rf\[10\]\[0\],32.31
_1127_,32.26
po_0._1_\[3\],32.24
net181,32.2
_1115_,32.18
po_0.regf_0.rf\[11\]\[12\],32.1
net105,32.08
po_0.regf_0.rf\[2\]\[1\],31.94
po_0.regf_0.rf\[14\]\[3\],31.89
_1490_,31.76
_0551_,31.72
_0612_,31.62
_0503_,31.5
_0765_,31.5
_1457_,31.48
_1466_,31.36
po_0.regf_0.rf\[9\]\[3\],31.36
po_0.regf_0.rf\[13\]\[8\],31.25
net165,31.21
po_0._1_\[7\],31.12
net110,31.02
po_0._1_\[9\],30.96
_1200_,30.94
uc_0._20_\[10\],30.88
net121,30.86
_0665_,30.8
po_0.regf_0.rf\[6\]\[1\],30.755
net128,30.66
po_0.regf_0.rf\[5\]\[2\],30.54
po_0.regf_0.rf\[7\]\[1\],30.44
net91,30.44
_0875_,30.36
D_R_data[7],30.33
net137,30.2
po_0.regf_0.rf\[4\]\[5\],30.04
net140,30.02
po_0.regf_0.rf\[0\]\[8\],29.96
_1165_,29.73
po_0.regf_0.rf\[4\]\[10\],29.66
_0590_,29.515
po_0.regf_0.rf\[5\]\[0\],29.48
_0424_,29.44
_0754_,29.42
net162,29.4
po_0.regf_0.rf\[10\]\[3\],29.17
po_0.regf_0.rf\[14\]\[13\],29.165
_0579_,29.12
po_0.regf_0.rf\[1\]\[6\],28.96
_0501_,28.94
po_0.regf_0.rf\[14\]\[14\],28.93
po_0._1_\[11\],28.91
po_0.regf_0.rf\[1\]\[2\],28.91
po_0.muxf_0.rf_w_data\[1\],28.9
_0353_,28.82
_0357_,28.82
po_0.regf_0.rf\[9\]\[8\],28.76
po_0._1_\[13\],28.66
_0766_,28.62
_0877_,28.62
_0778_,28.58
_1120_,28.38
po_0.regf_0.rf\[10\]\[12\],28.34
po_0.regf_0._5_\[8\],28.3
po_0.regf_0.rf\[15\]\[4\],28.295
po_0._1_\[5\],28.28
po_0.regf_0.rf\[14\]\[7\],28.265
_0600_,28.22
_1119_,28.22
net61,28.22
po_0.regf_0.rf\[7\]\[12\],28.06
_0376_,28.04
po_0.regf_0.rf\[15\]\[1\],28
net148,28
_0584_,27.98
_0800_,27.93
po_0.regf_0.rf\[4\]\[1\],27.92
_0835_,27.88
_0802_,27.8
_1159_,27.68
_0825_,27.66
po_0.regf_0.rf\[14\]\[11\],27.555
_0528_,27.54
_1392_,27.535
po_0.regf_0.rf\[4\]\[6\],27.5
po_0._1_\[6\],27.48
po_0.regf_0.rf\[0\]\[3\],27.44
_1191_,27.32
po_0.regf_0.rf\[9\]\[5\],27.28
po_0.regf_0.rf\[5\]\[11\],27.24
po_0.regf_0.rf\[5\]\[1\],27.16
po_0.regf_0.rf\[9\]\[4\],27.16
_0399_,27.1
po_0.regf_0.rf\[6\]\[12\],27.09
po_0.regf_0.rf\[2\]\[4\],27.035
po_0.regf_0.rf\[1\]\[8\],27.02
po_0.regf_0.rf\[3\]\[7\],27.02
po_0.regf_0.rf\[6\]\[3\],27.01
_0758_,27
_0789_,26.98
_1373_,26.98
_0485_,26.94
_0755_,26.94
po_0.regf_0.rf\[12\]\[7\],26.84
po_0.regf_0.rf\[7\]\[2\],26.64
po_0.regf_0.rf\[5\]\[8\],26.54
po_0.regf_0.rf\[6\]\[7\],26.41
_1300_,26.38
_1350_,26.32
po_0.regf_0.rf\[5\]\[3\],26.3
_1128_,26.24
po_0.regf_0.rf\[1\]\[0\],26.24
_0462_,26.16
_0531_,26.16
po_0.regf_0.rf\[14\]\[0\],26.03
_0616_,25.98
_1315_,25.98
po_0.alu_0._11_\[14\],25.98
_0564_,25.96
po_0.regf_0.rf\[11\]\[14\],25.96
net118,25.94
_0644_,25.92
po_0.regf_0.rf\[12\]\[6\],25.9
_0370_,25.86
po_0.regf_0.rf\[5\]\[10\],25.8
po_0.regf_0.rf\[10\]\[8\],25.775
po_0.regf_0.rf\[15\]\[13\],25.76
po_0.regf_0.rf\[8\]\[10\],25.74
po_0.regf_0.rf\[3\]\[11\],25.69
po_0.regf_0.rf\[11\]\[15\],25.68
uc_0._20_\[9\],25.66
po_0.regf_0.rf\[0\]\[5\],25.64
po_0.regf_0.rf\[3\]\[1\],25.6
po_0.regf_0.rf\[4\]\[7\],25.56
_1301_,25.52
po_0.regf_0.rf\[4\]\[11\],25.42
po_0.regf_0.rf\[10\]\[6\],25.375
_0680_,25.36
_0611_,25.25
uc_0._00_,25.22
_0346_,25.11
po_0.regf_0.rf\[9\]\[2\],25.1
_1414_,25.04
po_0.regf_0.rf\[3\]\[12\],25.04
_0628_,24.94
po_0.regf_0.rf\[10\]\[10\],24.89
_0682_,24.88
_0627_,24.86
_0797_,24.84
po_0.regf_0.rf\[15\]\[5\],24.84
_0667_,24.79
po_0.regf_0.rf\[4\]\[4\],24.74
_1477_,24.72
po_0.muxf_0.s1,24.6
po_0.regf_0.rf\[15\]\[14\],24.6
_1151_,24.56
_0617_,24.52
po_0.regf_0.rf\[1\]\[3\],24.5
po_0.regf_0.rf\[6\]\[6\],24.39
po_0.regf_0.rf\[2\]\[14\],24.33
net68,24.3
po_0.regf_0.rf\[6\]\[15\],24.195
_1469_,24.16
po_0.regf_0.rf\[10\]\[13\],24.05
po_0.regf_0.rf\[14\]\[12\],24.01
_0784_,24
uc_0._20_\[8\],23.98
_1384_,23.88
po_0.regf_0.rf\[15\]\[0\],23.84
po_0.regf_0.rf\[7\]\[4\],23.8
po_0.alu_0._11_\[9\],23.76
_0591_,23.56
_1349_,23.48
po_0.regf_0.rf\[13\]\[1\],23.48
po_0.regf_0.rf\[15\]\[3\],23.4
po_0.regf_0.rf\[10\]\[14\],23.36
po_0.regf_0.rf\[15\]\[2\],23.34
_1187_,23.3
po_0.regf_0.rf\[0\]\[2\],23.3
